crossing time (s)	slope (V/s)	crossing number
7878.211967	99.116141	1505
7879.284456	82.282643	1506
7880.261635	74.820075	1507
7881.296646	72.643693	1508
7882.297769	65.892442	1509
7883.310979	59.316022	1510
7884.313680	48.203562	1511
7885.309592	41.775134	1512
7886.298818	35.988266	1513
7887.344852	37.352536	1514
7888.364134	33.784736	1515
7889.337736	26.490890	1516
7890.334532	24.479044	1517
7891.385683	22.515106	1518
7892.370478	19.401089	1519
7893.408500	15.532112	1520
7894.375134	14.879880	1521
7895.429356	11.318003	1522
7896.406158	9.916658	1523
7897.422663	9.548019	1524
7898.396948	7.574342	1525
