time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8010.919088	332.682312	1.286695	0.065720	91
8012.942421	332.228729	1.157369	0.062725	93
8014.961835	151.738800	-1.030200	-0.100000	95
8016.980905	151.822678	-0.915861	-0.059117	97
8018.995106	151.951385	-0.788579	-0.100000	99
8021.008859	152.616760	-0.709144	-0.050798	101
8023.023783	152.893280	-0.618694	-0.045386	103
8025.037031	152.998138	-0.537386	-0.041065	105
8027.052029	152.950073	-0.467142	-0.036655	107
8029.069498	152.813324	-0.406362	-0.032447	109
8031.086384	152.555252	-0.353461	-0.028888	111
