time (s)	det(V)
9522.802213	1.635632	
9522.803752	1.635322	
9522.805368	1.635620	
9522.806939	1.635330	
9522.808529	1.635595	
9522.810132	1.635213	
9522.811709	1.635571	
9522.813306	1.635213	
9522.814839	1.635503	
9522.816506	1.634012	
9522.817994	1.629509	
9522.819721	1.582881	
9522.821193	1.498415	
9522.822941	1.471208	
9522.824414	1.441676	
9522.826060	1.445600	
9522.827537	1.390992	
9522.829178	1.365352	
9522.830657	1.306836	
9522.832235	1.284435	
9522.833781	1.188520	
9522.835320	1.208436	
9522.836939	1.149740	
9522.838422	1.119165	
9522.840060	1.060029	
9522.841561	1.088880	
9522.843198	1.063687	
9522.844674	1.013297	
9522.846325	1.024012	
9522.847796	0.955933	
9522.849439	0.952078	
9522.850916	0.901817	
9522.852551	0.895968	
9522.854055	0.874936	
9522.855643	0.845098	
9522.857218	0.794358	
9522.858710	0.792130	
9522.860324	0.764560	
9522.861822	0.767875	
9522.863416	0.707869	
9522.864911	0.686451	
9522.866506	0.717876	
9522.867982	0.674249	
9522.869560	0.649644	
9522.871063	0.624415	
9522.872618	0.631218	
9522.874125	0.585638	
9522.875616	0.577912	
9522.877215	0.593908	
9522.878707	0.526373	
9522.880306	0.545157	
9522.881805	0.507581	
9522.883373	0.460506	
9522.884884	0.454561	
9522.886481	0.437759	
9522.887953	0.407675	
9522.889524	0.432928	
9522.891039	0.412509	
9522.892530	0.370216	
9522.894098	0.400927	
9522.895624	0.369648	
9522.897227	0.351452	
9522.898718	0.340603	
9522.900267	0.363246	
9522.901808	0.326903	
9522.903375	0.264456	
9522.904907	0.304050	
9522.906441	0.297790	
9522.908000	0.283840	
9522.909531	0.267256	
9522.911098	0.265838	
9522.912595	0.230501	
9522.914184	0.215794	
9522.915685	0.222300	
9522.917248	0.247263	
9522.918781	0.211383	
9522.920333	0.178758	
9522.921872	0.204410	
9522.923386	0.218416	
9522.924951	0.184868	
9522.926475	0.197324	
9522.928055	0.189872	
9522.929546	0.140356	
9522.931117	0.148034	
9522.932642	0.145830	
9522.934224	0.136476	
9522.935715	0.132416	
9522.937287	0.153395	
9522.938816	0.144013	
9522.940365	0.129189	
9522.941901	0.151760	
9522.943393	0.118297	
9522.945016	0.129241	
9522.946507	0.102594	
9522.948079	0.124013	
9522.949604	0.101849	
9522.951204	0.090336	
9522.952692	0.115980	
9522.954265	0.088116	
9522.955795	0.066517	
9522.957361	0.074134	
9522.958898	0.096121	
9522.960414	0.077570	
9522.962002	0.084632	
9522.963515	0.090928	
9522.965101	0.101003	
9522.966596	0.083689	
9522.968200	0.068031	
9522.969695	0.067056	
9522.971269	0.056288	
9522.972794	0.049255	
9522.974362	0.098219	
9522.975881	0.037867	
9522.977397	0.071701	
9522.978966	0.078928	
9522.980494	0.050520	
9522.982090	0.066404	
9522.983570	0.027615	
9522.985150	0.049384	
9522.986661	0.043499	
9522.988266	0.058311	
9522.989750	0.028187	
9522.991373	0.094243	
9522.993036	0.082674	
9522.994611	0.079903	
9522.996309	0.074726	
9522.997858	0.071729	
9522.999554	0.045416	
9523.001110	0.065598	
9523.002829	0.063818	
9523.004370	0.079210	
9523.006099	0.055120	
9523.007615	0.022777	
9523.009378	0.066722	
9523.010856	0.014112	
9523.012637	0.066460	
9523.014116	0.046391	
9523.015866	0.069244	
9523.017341	0.058484	
9523.019126	0.053086	
9523.020616	0.036429	
9523.022394	0.035764	
9523.023891	0.016283	
9523.025641	0.064587	
9523.027146	0.000424	
9523.028866	0.073014	
9523.030398	0.029959	
9523.032106	0.047696	
9523.033636	-0.032089	
9523.035239	0.060683	
9523.036831	0.023703	
9523.038402	0.033520	
9523.040015	0.034302	
9523.041572	0.025685	
9523.043205	-0.000615	
9523.044694	-0.002569	
9523.046381	0.052607	
9523.047871	0.000098	
9523.049604	-0.021639	
9523.051075	0.019945	
9523.052800	0.023103	
9523.054286	-0.012584	
9523.055992	0.027115	
9523.057467	-0.023947	
9523.059173	0.040477	
9523.060656	-0.001204	
9523.062334	0.028376	
9523.063849	-0.013804	
9523.065507	0.041299	
9523.067056	-0.018457	
9523.068566	-0.007218	
9523.070206	0.004887	
9523.071696	0.007123	
9523.073327	0.007179	
9523.074840	-0.035033	
9523.076485	0.026983	
9523.077972	-0.018231	
9523.079627	-0.029744	
9523.081115	-0.007161	
9523.082729	0.028811	
9523.084220	0.027140	
9523.085864	0.006152	
9523.087344	-0.028367	
9523.088963	0.003578	
9523.090481	-0.031182	
9523.092040	0.040066	
9523.093660	0.012851	
9523.095151	0.006934	
9523.096788	-0.016592	
9523.098290	-0.010851	
9523.099921	-0.002291	
9523.101446	-0.018537	
9523.103038	-0.006263	
9523.104513	-0.018759	
9523.106084	-0.005313	
9523.107582	-0.036774	
9523.109141	0.024336	
9523.110689	0.008444	
9523.112181	0.015949	
9523.113747	0.007526	
9523.115270	-0.013901	
9523.116855	-0.009434	
9523.118350	-0.019142	
9523.119933	0.005363	
9523.121429	-0.042027	
9523.122985	0.010909	
9523.124502	-0.036898	
9523.126045	0.022346	
9523.127577	-0.024121	
9523.129104	-0.015504	
9523.130684	0.025512	
9523.132172	0.047148	
9523.133784	0.005898	
9523.135282	0.026141	
9523.136875	0.001342	
9523.138372	0.014894	
9523.139927	0.025448	
9523.141468	-0.017389	
9523.142983	-0.018276	
9523.144555	0.020408	
9523.146045	0.008299	
9523.147636	0.023434	
9523.149150	-0.002771	
9523.150746	0.015780	
9523.152242	-0.004809	
9523.153806	0.026257	
9523.155322	-0.002533	
9523.156891	0.000533	
9523.158424	0.005000	
9523.159937	0.004347	
9523.161497	-0.018477	
9523.163006	0.005230	
9523.164567	0.015885	
9523.166081	0.027462	
9523.167691	0.037686	
9523.169183	0.018825	
9523.170751	0.028235	
9523.172267	-0.020612	
9523.173829	0.005705	
9523.175354	-0.034796	
9523.176866	-0.028922	
9523.178425	-0.017091	
9523.179960	0.036356	
9523.181560	-0.014525	
9523.183040	-0.064593	
9523.184629	-0.005333	
9523.186153	-0.006388	
9523.187750	0.016211	
9523.189237	-0.013559	
9523.190819	0.020960	
9523.192344	-0.021091	
9523.193935	-0.025519	
9523.195472	-0.022086	
9523.197004	-0.035477	
9523.198565	-0.006831	
9523.200090	-0.019416	
9523.201648	-0.016245	
9523.203145	-0.005824	
9523.204728	0.006055	
9523.206256	-0.067276	
9523.207820	-0.025547	
9523.209341	0.008182	
9523.210890	-0.041177	
9523.212434	-0.017168	
9523.213969	-0.012410	
9523.215520	-0.006722	
9523.217040	-0.017708	
9523.218616	-0.016503	
9523.220107	-0.015275	
9523.221679	-0.026461	
9523.223195	-0.036089	
9523.224774	-0.027915	
9523.226275	-0.012386	
9523.227829	-0.013172	
9523.229374	0.026366	
9523.230924	0.003002	
9523.232673	-0.016608	
9523.234153	-0.010739	
9523.235915	0.006607	
9523.237409	-0.039706	
9523.239182	-0.016298	
9523.240659	-0.036456	
9523.242461	-0.032226	
9523.243941	-0.046321	
9523.245689	-0.011641	
9523.247184	-0.066930	
9523.248941	-0.009732	
9523.250461	-0.011266	
9523.252202	-0.030917	
9523.253721	-0.027577	
9523.255435	-0.019935	
9523.256972	-0.090681	
9523.258662	-0.012149	
9523.260208	-0.042163	
9523.261891	-0.013506	
9523.263462	-0.059997	
9523.265124	0.009206	
9523.266700	-0.049608	
9523.268335	-0.034147	
9523.269937	-0.054265	
9523.271568	-0.022244	
9523.273171	-0.104607	
9523.274764	-0.041144	
9523.276439	-0.079744	
9523.277917	-0.059804	
9523.279648	-0.025905	
9523.281122	-0.047420	
9523.282836	-0.017824	
9523.284312	-0.059542	
9523.286031	-0.057729	
9523.287513	-0.136825	
9523.289229	-0.053681	
9523.290723	-0.084614	
9523.292414	-0.075937	
9523.293906	-0.121203	
9523.295571	-0.075216	
9523.297088	-0.135411	
9523.298727	-0.083587	
9523.300269	-0.145373	
9523.301885	-0.098588	
9523.303480	-0.136805	
9523.305051	-0.120873	
9523.306677	-0.131060	
9523.308181	-0.146445	
9523.309840	-0.157950	
9523.311314	-0.158365	
9523.312961	-0.160298	
9523.314434	-0.187989	
9523.316063	-0.170252	
9523.317534	-0.173543	
9523.319176	-0.166115	
9523.320671	-0.177398	
9523.322240	-0.180863	
9523.323797	-0.214966	
9523.325336	-0.218576	
9523.326931	-0.280253	
9523.328421	-0.241167	
9523.330073	-0.256849	
9523.331560	-0.259177	
9523.333192	-0.268305	
9523.334714	-0.293426	
9523.336336	-0.307110	
9523.337813	-0.328287	
9523.339369	-0.351752	
9523.340874	-0.313628	
9523.342415	-0.348316	
9523.343955	-0.389840	
9523.345445	-0.363064	
9523.347032	-0.408910	
9523.348556	-0.389151	
9523.350148	-0.391745	
9523.351645	-0.424528	
9523.353221	-0.435114	
9523.354742	-0.471869	
9523.356330	-0.435271	
9523.357819	-0.491930	
9523.359381	-0.474431	
9523.360908	-0.512063	
9523.362450	-0.518118	
9523.363984	-0.515354	
9523.365467	-0.504715	
9523.367047	-0.536869	
9523.368562	-0.593266	
9523.370161	-0.584210	
9523.371651	-0.620155	
9523.373216	-0.627503	
9523.374754	-0.651846	
9523.376262	-0.664781	
9523.377837	-0.705302	
9523.379335	-0.753400	
9523.380914	-0.713173	
9523.382414	-0.747736	
9523.384000	-0.720746	
9523.385510	-0.761336	
9523.387080	-0.800994	
9523.388611	-0.863651	
9523.390183	-0.834647	
9523.391710	-0.874616	
9523.393263	-0.880477	
9523.394799	-0.931174	
9523.396332	-0.942928	
9523.397884	-0.961205	
9523.399410	-1.021271	
9523.401000	-1.038230	
9523.402494	-1.066831	
9523.404061	-1.069325	
9523.405587	-1.139091	
9523.407129	-1.126946	
9523.408663	-1.197474	
