time (s)	magX	magY	magZ
4172.242810	-59.223846	103.940384	-8.834015
4172.246145	-59.925194	104.992401	-9.827586
4172.249502	-60.275864	106.336647	-9.652250
4172.252766	-60.977211	107.037994	-10.353594
4172.256092	-61.678551	107.914673	-10.879602
4172.259432	-61.620102	109.551140	-11.288720
4172.262764	-62.555229	110.720047	-11.639392
4172.266095	-62.789009	111.596725	-12.340736
4172.269421	-63.724136	112.414963	-12.808299
4172.272783	-63.607246	113.876099	-12.749853
4172.276601	-64.659264	115.161896	-14.094097
4172.279956	-65.302162	116.798363	-14.035652
4172.283307	-66.529510	118.025719	-15.321449
4172.286536	-67.347755	118.843948	-16.139685
4172.289844	-68.575111	120.421982	-16.490356
4172.293181	-69.218002	120.889542	-18.068380
4172.296545	-70.562241	122.584457	-18.769726
4172.299870	-71.146706	124.162483	-19.529514
4172.303264	-71.906487	125.798950	-20.523087
4172.306616	-73.426071	126.967857	-19.997078
4172.310309	-74.185860	128.545883	-21.750439
4172.313650	-75.237869	130.240799	-21.984219
4172.317050	-76.348343	131.526596	-23.562244
4172.320344	-77.108124	133.747513	-24.555815
4172.323680	-78.393921	135.150208	-25.666277
4172.327028	-79.504379	137.078903	-26.542957
4172.330354	-80.790184	139.007599	-28.354763
4172.333744	-81.900642	141.403870	-29.231443
4172.337122	-83.244881	143.507889	-30.400351
4172.340409	-84.472237	145.845703	-31.335476
4172.343773	-85.465813	147.774399	-33.088837
4172.347535	-86.810051	150.112213	-34.491524
4172.350856	-88.271187	152.625366	-35.952660
4172.354218	-89.966103	155.196960	-37.121567
4172.357509	-91.310349	158.411453	-39.050262
4172.360803	-92.771484	160.398605	-40.628288
4172.364105	-94.232620	163.203979	-42.849213
4172.367457	-95.576866	166.301575	-45.596142
4172.370819	-97.213326	169.282288	-47.700172
4172.374602	-98.265343	172.847458	-50.154881
4172.377505	-99.960258	176.412628	-52.901814
4172.380876	-101.538277	179.510239	-55.414963
4172.384707	-103.466972	183.309174	-57.694328
4172.388031	-105.278786	187.108124	-60.616600
4172.391395	-106.798363	190.731735	-63.714203
4172.394785	-108.259499	194.004669	-67.220924
4172.398112	-109.720634	198.154297	-69.967850
4172.401493	-112.526009	202.362350	-74.059036
4172.404859	-114.513145	206.102859	-77.215080
4172.408226	-116.558739	210.603149	-80.955582
