time (s)	det(V)
4172.241353	0.016636	
4172.242934	-0.053622	
4172.244503	-0.004166	
4172.246120	-0.043398	
4172.247660	-0.024525	
4172.249328	-0.046955	
4172.250808	-0.038592	
4172.252521	-0.048312	
4172.253996	-0.046657	
4172.255703	-0.000504	
4172.257179	-0.072446	
4172.258891	0.004431	
4172.260378	-0.039212	
4172.262066	-0.021613	
4172.263568	-0.092394	
4172.265291	-0.046882	
4172.266775	-0.111718	
4172.268460	-0.038249	
4172.269961	-0.089731	
4172.271614	-0.018076	
4172.273150	-0.024610	
4172.274778	-0.029254	
4172.276384	-0.029979	
4172.277865	-0.020154	
4172.279516	-0.030362	
4172.281015	-0.042785	
4172.282674	-0.079290	
4172.284162	-0.096592	
4172.285805	-0.008605	
4172.287279	-0.037428	
4172.288927	-0.005358	
4172.290402	-0.054766	
4172.292037	-0.052365	
4172.293532	-0.112185	
4172.295142	-0.022978	
4172.296663	-0.057263	
4172.298238	-0.056800	
4172.299788	-0.082041	
4172.301304	-0.053718	
4172.302948	-0.056159	
4172.304444	-0.046189	
4172.306080	-0.049791	
4172.307604	-0.063628	
4172.309232	-0.070021	
4172.310710	-0.127138	
4172.312268	-0.060530	
4172.313779	-0.073151	
4172.315348	-0.059386	
4172.316889	-0.068961	
4172.318380	-0.038946	
4172.319968	-0.069699	
4172.321465	-0.062975	
4172.323068	-0.053614	
4172.324563	-0.059003	
4172.326145	-0.091302	
4172.327650	-0.097969	
4172.329239	-0.034487	
4172.330731	-0.101494	
4172.332301	-0.032255	
4172.333840	-0.057114	
4172.335378	-0.056739	
4172.336933	-0.045662	
4172.338412	-0.032570	
4172.340027	-0.036102	
4172.341522	-0.054367	
4172.343122	-0.038838	
4172.344612	-0.056272	
4172.346201	-0.037802	
4172.347716	-0.071628	
4172.349242	-0.030946	
4172.350794	-0.073493	
4172.352330	-0.086541	
4172.353902	-0.047785	
4172.355399	-0.098118	
4172.356969	-0.065304	
4172.358511	-0.092700	
4172.360110	-0.064365	
4172.361602	-0.081075	
4172.363167	-0.022777	
4172.364690	-0.079773	
4172.366270	-0.050987	
4172.367796	-0.077171	
4172.369345	-0.047696	
4172.370911	-0.033089	
4172.372432	-0.047100	
4172.373980	-0.018217	
4172.375503	-0.022189	
4172.377116	0.025055	
4172.378600	-0.024299	
4172.380229	-0.010144	
4172.381717	-0.019522	
4172.383298	0.029881	
4172.384821	-0.021520	
4172.386368	-0.036912	
4172.387919	-0.035941	
4172.389420	-0.027800	
4172.391023	0.005981	
4172.392530	0.012270	
4172.394153	0.033527	
4172.395648	-0.027945	
4172.397237	0.034127	
4172.398747	0.037789	
4172.400316	0.076807	
4172.401862	0.036770	
4172.403400	0.035400	
4172.404959	0.072255	
4172.406493	0.093614	
4172.408061	0.093811	
4172.409564	0.078076	
4172.411166	0.119798	
4172.412656	0.101839	
4172.414230	0.126783	
4172.415758	0.110996	
4172.417353	0.160596	
4172.418868	0.092296	
4172.420431	0.162679	
4172.421969	0.139762	
4172.423536	0.206564	
4172.425061	0.190152	
4172.426600	0.222592	
4172.428169	0.189061	
4172.429696	0.203631	
4172.431266	0.247064	
4172.432756	0.211845	
4172.434331	0.276153	
4172.435860	0.252494	
4172.437464	0.311783	
4172.438966	0.330882	
4172.440584	0.381618	
4172.442289	0.378690	
4172.443841	0.380756	
4172.445549	0.441052	
4172.447073	0.418191	
4172.448838	0.436903	
4172.450325	0.473823	
4172.452110	0.518364	
4172.453586	0.556218	
4172.455365	0.561410	
4172.456856	0.578817	
4172.458648	0.638577	
4172.460138	0.639221	
4172.461941	0.740554	
4172.463416	0.755974	
4172.465196	0.771793	
4172.466687	0.824991	
4172.468435	0.885618	
4172.469943	0.888139	
4172.471657	0.988533	
4172.473185	1.037252	
4172.474898	1.122906	
4172.476447	1.135313	
4172.478154	1.252001	
4172.479708	1.238289	
4172.481411	1.362800	
4172.482968	1.411023	
4172.484650	1.525685	
