crossing time (s)	slope (V/s)	crossing number
4749.750148	-114.603023	1814
4750.770624	-98.973554	1815
4751.805354	-92.336057	1816
4752.829045	-83.564014	1817
4753.883468	-81.291855	1818
4754.915801	-74.006115	1819
4755.960900	-68.857301	1820
4756.964654	-63.847448	1821
4758.017247	-58.199091	1822
4759.102411	-56.235244	1823
4760.091064	-49.167176	1824
4761.099490	-43.968181	1825
4762.127856	-39.074293	1826
4763.161703	-35.745311	1827
4764.209638	-36.218455	1828
4765.226525	-27.739899	1829
4766.278441	-28.954013	1830
4767.285657	-26.528651	1831
4768.343108	-25.315364	1832
4769.366520	-22.106061	1833
4770.404261	-20.321531	1834
4771.420498	-18.338193	1835
4772.455430	-16.259308	1836
4773.484774	-14.609529	1837
4774.517555	-12.224567	1838
4775.546353	-14.051453	1839
4776.588543	-10.037784	1840
4777.614665	-9.768215	1841
4778.671178	-8.805240	1842
4779.694568	-9.114687	1843
